# NIEM Type Directory — one line per type for efficient semantic matching
# Format: qname | baseType | pattern | propCount | definition | topProperties
# Total: 2802 types
#
hs:AbuseNeglectSeverityCodeType | hs:AbuseNeglectSeverityCodeSimpleType | complex_value | 0 | A data type for describing different severity levels of abuse. | -
hs:ActionRequestedCodeSimpleType | xs:token | simple_value | 0 | A data type for the actions being requested of the court based on the types of services needed by the child. | -
hs:ActionRequestedCodeType | hs:ActionRequestedCodeSimpleType | complex_value | 0 | A data type for the actions being requested of the court based on the types of services needed by the child. | -
hs:AddressCategoryCodeListCodeSimpleType | xs:token | simple_value | 0 | A data type for a kind of address. | -
hs:AddressCategoryCodeListCodeType | hs:AddressCategoryCodeListCodeSimpleType | complex_value | 0 | A data type for a kind of address. | -
hs:AdoptingParentRelationshipCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for describing the relationship of an adopting parent. | -
hs:AdoptingParentRelationshipCategoryCodeType | hs:AdoptingParentRelationshipCategoryCodeSimpleType | complex_value | 0 | A data type for describing the relationship of an adopting parent. | -
hs:AdoptiveFamilyAssociationType | nc:AssociationType | association | 8 | A data type for an association between family members in an adoptive family. | AdoptingParentRelationshipCategoryAbstract, AdoptionPlacedFromText, AdoptionPlacementByText, AdoptiveFamilyAssociationAugmentationPoint, JuvenileReceivesSubsidyIndicator, StateInvolvementIndicator, SubsidyMonthlyAmount, TitleIV-EAdoptionIndicator
hs:AdoptiveParentChildAssociationType | hs:ParentChildAssociationType | association | 5 | A data type for an association between a child and a parent who adopted the child. | AdoptionDecreeIndicator, AdoptionLocation, AdoptiveParentChildAssociationAugmentationPoint, FinalAdoptionDecreeIndicator, Orphan
hs:AssessmentOutcomeType | nc:ActivityType | object | 2 | A data type for the outcome of an assessment. | AssessmentOutcomeAugmentationPoint, AssessmentScoreAbstract
hs:AssessmentRecommendationType | nc:ActivityType | object | 2 | A data type for the recommendation of an assessment. | AssessmentRecommendationAugmentationPoint, AssessmentRecommendedCourseOfAction
hs:AssessmentRecommendedCourseOfActionCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for describing a course of action. | -
hs:AssessmentRecommendedCourseOfActionCategoryCodeType | hs:AssessmentRecommendedCourseOfActionCategoryCodeSimpleType | complex_value | 0 | A data type for describing courses of action. | -
hs:AssessmentRecommendedCourseOfActionType | nc:ActivityType | object | 3 | A data type for an action. | AssessmentCourseOfActionWillBeTakenIndicator, AssessmentRecommendedCourseOfActionAugmentationPoint, AssessmentRecommendedCourseOfActionCategoryCode
hs:AssociatedPersonChildAssociationType | nc:AssociationType | association | 3 | A data type for a relationship between a person and the child. | AssociatedPersonChildAssociationAugmentationPoint, Child, PersonAssociationCategoryAbstract
hs:AttorneyStatusCodeSimpleType | xs:token | simple_value | 0 | A data type for describing the role of an attorney as it relates to their client. | -
hs:AttorneyStatusCodeType | hs:AttorneyStatusCodeSimpleType | complex_value | 0 | A data type for a code list describing the role of an attorney as it relates to their client. | -
hs:BasisOfAppointmentCodeSimpleType | xs:token | simple_value | 0 | A data type for findings that justify representation | -
hs:BasisOfAppointmentCodeType | hs:BasisOfAppointmentCodeSimpleType | complex_value | 0 | A data type for findings that justify representation | -
hs:BiologicalParentChildAssociationType | hs:ParentChildAssociationType | association | 3 | A data type for an association between a child and one of the child's biological parents. | BiologicalParentChildAssociationAugmentationPoint, PersonUnionAtBirthIndicator, PersonUnionAtConceptionIndicator
hs:BiologicalParentDeterminationMethodCodeSimpleType | xs:token | simple_value | 0 | A data type for a list of methods by which a biological relationship between a parent and child is legally determined. | -
hs:BiologicalParentDeterminationMethodCodeType | hs:BiologicalParentDeterminationMethodCodeSimpleType | complex_value | 0 | A data type describing the methods by which a biological relationship between a parent and child is legally determined. | -
hs:BiologicalParentDeterminationStatusCodeSimpleType | xs:token | simple_value | 0 | A data type for describing the status of the determination of a biological relationship between a putative parent and a  | -
hs:BiologicalParentDeterminationStatusCodeType | hs:BiologicalParentDeterminationStatusCodeSimpleType | complex_value | 0 | A data type for describing the status of the determination of a biological relationship between a putative parent and a  | -
hs:CaseInitiationReasonCodeSimpleType | xs:token | simple_value | 0 | A data type for a list of overall procedural reasons for opening the case. | -
hs:CaseInitiationReasonCodeType | hs:CaseInitiationReasonCodeSimpleType | complex_value | 0 | A data type for the overall reason for opening the case. | -
hs:CaseParticipantType | nc:PersonType | object | 2 | A data type for information about a participant. | CaseParticipantAugmentationPoint, CaseParticipantInvolvementText
hs:CaseWorkerCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for a kind of case worker. | -
hs:CaseWorkerCategoryCodeType | hs:CaseWorkerCategoryCodeSimpleType | complex_value | 0 | A data type for a kind of case worker. | -
hs:CaseWorkerUnitCodeListCodeSimpleType | xs:token | simple_value | 0 | A data type for a kind of a case worker unit. | -
hs:CaseWorkerUnitCodeListCodeType | hs:CaseWorkerUnitCodeListCodeSimpleType | complex_value | 0 | A data type for a kind of a case worker unit. | -
hs:CaseWorkerUnitType | nc:OrganizationType | object | 4 | A data type for a case worker unit. | CaseWorkerUnitAugmentationPoint, CaseWorkerUnitCode, CaseWorkerUnitID, CaseWorkerUnitNameRangeText
hs:CaseworkerInvolvementCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type describing the specific involvement of a caseworker as related to a particular case. | -
hs:CaseworkerInvolvementCategoryCodeType | hs:CaseworkerInvolvementCategoryCodeSimpleType | complex_value | 0 | A data type describing the specific involvement of a caseworker as related to a particular case | -
hs:CaseworkerType | nc:PersonType | object | 2 | A data type for information about the caseworker. | CaseworkerAugmentationPoint, CaseworkerCategoryAbstract
hs:ChargeAllegationCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for a list of NCANDS (National Child Abuse and Neglect Data System) allegation categories. | -
hs:ChargeAllegationCategoryCodeType | hs:ChargeAllegationCategoryCodeSimpleType | complex_value | 0 | A data type for a list of NCANDS (National Child Abuse and Neglect Data System) allegation categories. | -
hs:ChildCareIndicatorCodeSimpleType | xs:token | simple_value | 0 | A data type for a role of the person of record involved in child care - the child receiving assistance, the parent recei | -
hs:ChildCareIndicatorCodeType | hs:ChildCareIndicatorCodeSimpleType | complex_value | 0 | A data type for a role of the person of record involved in child care - the child receiving assistance, the parent recei | -
hs:ChildLegalCustodyPartyAssociationType | nc:AssociationType | association | 3 | A data type for a relationship between a custodial person or organization and a child. | Child, ChildLegalCustodyPartyAssociationAugmentationPoint, CustodialEntity
hs:ChildSupportAssistanceStatusIndicatorCodeSimpleType | xs:token | simple_value | 0 | A data type for child support assistance status codes. | -
hs:ChildSupportAssistanceStatusIndicatorCodeType | hs:ChildSupportAssistanceStatusIndicatorCodeSimpleType | complex_value | 0 | A data type for child support assistance status codes. | -
hs:ChildSupportEnforcementCaseDispositionDecisionCodeSimpleType | xs:token | simple_value | 0 | A data type for the disposition decisions that a tribunal can reach at the conclusion of a hearing, trial, or other proc | -
hs:ChildSupportEnforcementCaseDispositionDecisionCodeType | hs:ChildSupportEnforcementCaseDispositionDecisionCodeSimpleType | complex_value | 0 | A data type for the decisions that a tribunal can reach at the conclusion of a hearing, trial, or other proceeding in a  | -
hs:ChildSupportEnforcementCaseDispositionDecisionType | nc:CaseDispositionDecisionType | object | 3 | A data type for an applied augmentation for type nc:CaseDispositionDecisionType | ChildSupportEnforcementCaseDispositionDecisionAugmentationPoint, ChildSupportEnforcementCaseDispositionDecisionCode, ChildSupportEnforcementCaseDispositionDecisionFindingsText
hs:ChildSupportEnforcementCaseOriginatorAssociationType | nc:AssociationType | association | 4 | A data type for an association between a child-support-enforcement agency and the child-support-enforcement case it init | Case, ChildSupportEnforcementCaseOriginatorAssociationAugmentationPoint, ChildSupportEnforcementCaseOriginatorIdentification, Organization
hs:ChildSupportEnforcementCaseTransferCodeSimpleType | xs:token | simple_value | 0 | A data type for the reasons why a child-support-enforcement case was transferred. | -
hs:ChildSupportEnforcementCaseTransferCodeType | hs:ChildSupportEnforcementCaseTransferCodeSimpleType | complex_value | 0 | A data type for the reasons why a child-support-enforcement case was transferred. | -
hs:ChildSupportEnforcementCaseType | nc:CaseType | object | 6 | A data type for a child support enforcement case. | ChildSupportEnforcementCaseAugmentationPoint, ChildSupportEnforcementCaseTransferCode, ChildSupportEnforcementIV-DCaseCategoryIndicator, ChildSupportEnforcementIV-DCaseIdentification, EnglishInterpreterRequiredIndicator, SupportingGroundsDescriptionText
hs:ChildSupportEnforcementOrganizationType | nc:OrganizationType | object | 2 | A data type for an applied augmentation for type nc:OrganizationType | ChildSupportEnforcementOrganizationAugmentationPoint, ChildSupportEnforcementServiceID
hs:ChildSupportInsuranceBeneficiaryPersonAssociationType | nc:AssociationType | association | 3 | A data type for an association between insurance coverage ordered in a child-support-enforcement case and the person (us | Child, ChildSupportInsuranceBeneficiaryPersonAssociationAugmentationPoint, CourtOrder
hs:ChildSupportInsuranceCoverageCodeSimpleType | xs:token | simple_value | 0 | A data type for the kind(s) of insurance coverage ordered in a child-support-enforcement case. | -
hs:ChildSupportInsuranceCoverageCodeType | hs:ChildSupportInsuranceCoverageCodeSimpleType | complex_value | 0 | A data type for the kind(s) of insurance coverage ordered in a child-support-enforcement case. | -
hs:ChildSupportInsuranceCoverageOrderType | nc:InsuranceType | object | 2 | A data type for an applied augmentation for type nc:InsuranceType | ChildSupportInsuranceCoverageOrderAugmentationPoint, ChildSupportInsuranceCoverageOrderCategoryAbstract
hs:ChildSupportObligationOrderActionCodeSimpleType | xs:token | simple_value | 0 | A data type for the legal actions a child-support-enforcement tribunal can take regarding a child-support obligation. | -
hs:ChildSupportObligationOrderActionCodeType | hs:ChildSupportObligationOrderActionCodeSimpleType | complex_value | 0 | A data type for the legal actions a child-support-enforcement tribunal can take regarding a child-support obligation. | -
hs:ChildSupportObligationType | nc:ObligationType | object | 12 | A data type for an applied augmentation for type nc:ObligationType | ChildSupportArrearsPaymentAmount, ChildSupportAssignedArrearsAmount, ChildSupportFeesAmount, ChildSupportNonTANFArrearsAmount, ChildSupportObligationAugmentationPoint, ChildSupportObligationOrderActionCode, ChildSupportTANFArrearsAmount, ChildSupportTotalArrearsAmount
hs:ChildType | nc:PersonType | object | 3 | A data type for information about a person who has not yet reached the age of legal majority (i.e., adulthood). | ChildAugmentationPoint, ChildRemovalDate, CountyOfCustodyText
hs:ChildVictimChargeAssociationType | nc:AssociationType | association | 4 | A data type for a relationship among an allegation of child abuse or neglect, the alleged perpetrator, and the alleged c | Charge, ChildVictimChargeAssociationAugmentationPoint, ChildWelfareChargeStatusCategoryAbstract, Person
hs:ChildVictimType | nc:PersonType | object | 6 | A data type for information about a person who has not yet reached the age of majority and in whose interest a child wel | ChildRemovalDate, ChildVictimAugmentationPoint, FatherUnknownText, PlacementChangeReasonAbstract, PlacementText, RemovalIndicator
hs:ChildWelfareCaseType | hs:JuvenileCaseType | object | 3 | A data type for a child welfare case. | ChildWelfareAgencyCaseID, ChildWelfareCaseAugmentationPoint, SocialServiceProgram
hs:ChildWelfareChargeStatusCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for a list that describes the current status of the associated charge. | -
hs:ChildWelfareChargeStatusCategoryCodeType | hs:ChildWelfareChargeStatusCategoryCodeSimpleType | complex_value | 0 | A data type for a list that describes the current status of the associated charge. | -
hs:ClientAttorneyAssociationType | nc:AssociationType | association | 5 | A data type for an association between a client and an attorney. | AttorneyStatusCategoryAbstract, BasisOfAppointmentCategoryAbstract, ClientAttorneyAssociationAugmentationPoint, ClientEntity, RepresentationAppointmentCategoryAbstract
hs:ClinicalObservationType | nc:ActivityType | object | 3 | A data type for a clinical observation of a person. | ClinicalObservationAugmentationPoint, ObservationCategoryText, ObservationPrimaryIndicator
hs:ContactActivityCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for describing the contact activity category. | -
hs:ContactActivityCategoryCodeType | hs:ContactActivityCategoryCodeSimpleType | complex_value | 0 | A data type for describing the contact activity category. | -
hs:ContactActivityType | nc:ActivityType | object | 3 | A data type for recording a contact with an individual. | ContactActivityAugmentationPoint, ContactActivityCaseReportNumberIdentification, ContactActivityCategoryAbstract
hs:CourtEventAttendeeType | nc:PersonType | object | 3 | A data type for details about court event attendees | CaseInvolvementDescriptionText, CourtEventAttendeeAugmentationPoint, CourtEventInputIndicator
hs:DataPrivacyType | - | object | 7 | A data type for data privacy. | DataPrivacyAugmentationPoint, DataPrivacyCategoryText, DataPrivacyDescriptionText, DataPrivacyElementName, DataPrivacyIndicator, DataPrivacyPolicyReferenceText, DataPrivacyRuleText
hs:DataQualityType | - | object | 6 | A data type for data quality. | DataProvenanceText, DataQualityAugmentationPoint, DataQualityDescriptionText, DataQualityDimensionText, DataQualityElementName, DataQualityValidationDate
hs:DependencyPetitionType | nc:DocumentType | object | 7 | A data type for a document that is filed with the Court, typically by an attorney representing the Child Welfare Agency, | ActionRequestedAbstract, CaseInitiationReasonAbstract, DependencyPetitionAugmentationPoint, HistoryDetailsText, PetitionCategoryAbstract, PetitionReasonText, SubmittedDateTime
hs:DevelopmentalDisabilityCodeSimpleType | xs:token | simple_value | 0 | A data type for describing a person's developmental disabilities | -
hs:DevelopmentalDisabilityCodeType | hs:DevelopmentalDisabilityCodeSimpleType | complex_value | 0 | A data type for describing a person's developmental disabilities | -
hs:DrugDosageUnitsCodeSimpleType | xs:token | simple_value | 0 | A data type for the unit of measure for the quantity dispensed of a drug. | -
hs:DrugDosageUnitsCodeType | hs:DrugDosageUnitsCodeSimpleType | complex_value | 0 | A data type for the unit of measure for the quantity dispensed of a drug. | -
hs:DrugUseFrequencyCodeSimpleType | xs:token | simple_value | 0 | A data type for describing the frequency with which a substance is used. | -
hs:DrugUseFrequencyCodeType | hs:DrugUseFrequencyCodeSimpleType | complex_value | 0 | A data type for describing the frequency with which a substance is used. | -
hs:EducationalAdjustmentCodeSimpleType | xs:token | simple_value | 0 | A data type for describing the amount of educational adjustment needed. | -
hs:EducationalAdjustmentCodeType | hs:EducationalAdjustmentCodeSimpleType | complex_value | 0 | A data type for describing the amount of educational adjustment needed. | -
hs:EducationalIssuesType | - | object | 3 | A data type for describing the educational issues related to the court report and service plan of any participant in the | EducationalGoalText, EducationalIssuesAugmentationPoint, EducationalNeedText
hs:EligibilityType | - | object | 5 | A data type for a set of programs for which a person may be considered for eligibility. | ChildSupportAssistanceStatusIndicatorCode, EligibilityAugmentationPoint, ServicesEligibilityIndicatorCode, TANFIndicator, TANFMonthsEligibilityQuantity
hs:EntityFindingAssociationType | nc:AssociationType | association | 3 | A data type for an association between a finding and a person or organization. | Entity, EntityFindingAssociationAugmentationPoint, Finding
hs:ExploitationIndustryCodeSimpleType | xs:token | simple_value | 0 | A data type for an industry in which a victim of human trafficking can be exploited. | -
hs:ExploitationIndustryCodeType | hs:ExploitationIndustryCodeSimpleType | complex_value | 0 | A data type for an industry in which a victim of human trafficking can be exploited. | -
hs:FindingType | nc:ActivityType | object | 7 | A data type for the details of the authoritative decision of the court. | FederalFindingsText, FindingAugmentationPoint, FosterCareAdoptionAssistanceFindingsText, LeastRestrictivePlacementIndicator, PermanencyPlanApprovedIndicator, ReasonableEffortsIndicator, StateFindingsText
hs:FosterCareCasePlanGoalCodeSimpleType | xs:token | simple_value | 0 | A data type for foster care plan goals. | -
hs:FosterCareCasePlanGoalCodeType | hs:FosterCareCasePlanGoalCodeSimpleType | complex_value | 0 | A data type for foster care plan goals. | -
hs:FosterCareFundingSourceCodeSimpleType | xs:token | simple_value | 0 | A data type for describing a source for foster care funding. | -
hs:FosterCareFundingSourceCodeType | hs:FosterCareFundingSourceCodeSimpleType | complex_value | 0 | A data type for describing a source for foster care funding. | -
hs:FosterCareRemovalReasonCodeSimpleType | xs:token | simple_value | 0 | A data type for reasons a child was removed from a foster care placement. | -
hs:FosterCareRemovalReasonCodeType | hs:FosterCareRemovalReasonCodeSimpleType | complex_value | 0 | A data type for reasons a child was removed from a foster care placement. | -
hs:FosterParentChildAssociationType | hs:ParentChildAssociationType | association | 18 | A data type for an association between a child and a foster parent. | FosterCareCurrentPlacementDescriptionText, FosterCareDischargeReasonDescriptionText, FosterCareFirstRemovalDate, FosterCareFundingSourceAbstract, FosterCareLastRemovalDate, FosterCareLiablePlacementCountyCode, FosterCareMonthlyPaymentAmount, FosterCarePreviousPlacementSettingsQuantity
hs:GoalObjectiveType | nc:ActivityType | object | 2 | A data type for describing a subset of a service plan goal. | GoalObjectiveAugmentationPoint, Task
hs:HealthDetailsType | - | object | 6 | A data type for the details about a person's mental health, substance abuse, medical health and medications. | HealthDetailsAugmentationPoint, MedicalHealthDetails, MedicationUse, MentalHealthDetails, Prescription, SubstanceAbuseDetails
hs:HealthInsuranceType | nc:InsuranceType | object | 2 | A data type for health insurance information. | HealthInsuranceAugmentationPoint, HealthInsurancePolicyPrimaryInsuredFullName
hs:HearingCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for the type of hearing that is going to take place. | -
hs:HearingCategoryCodeType | hs:HearingCategoryCodeSimpleType | complex_value | 0 | A data type for the type of hearing that is going to take place. | -
hs:HistoricalNarrativeType | - | object | 6 | A data type for the history of a participant of a case. | CompetencyStatusText, CriminalHistoryPendingChargesText, HistoricalNarrativeAugmentationPoint, IndigencyStatus, NonCriminalLegalIssuesText, PresentingProblemText
hs:HousingPermanencyCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for a kind of housing at time of service. | -
hs:HousingPermanencyCategoryCodeType | hs:HousingPermanencyCategoryCodeSimpleType | complex_value | 0 | A data type for a kind of housing at time of service. | -
hs:HumanTraffickingVictimType | j:VictimType | object | 7 | A data type for a person who is a victim, potentially or actually, of human trafficking. | HumanTraffickingVictimAugmentationPoint, IdentifiedAsVictimStatus, PolyvictimizationCategoryAbstract, ProspectiveVictimStatus, RecentPolyvictimizationIndicator, TraffickingEvent, VictimTraffickerRelationshipDescriptionText
hs:IdentifiedAsVictimCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for a kind of identification of a person identified as a victim of human trafficking. | -
hs:IdentifiedAsVictimCategoryCodeType | hs:IdentifiedAsVictimCategoryCodeSimpleType | complex_value | 0 | A data type for a kind of identification of a person identified as a victim of human trafficking. | -
hs:IdentifiedAsVictimStatusType | nc:StatusType | object | 3 | A data type for a status of a person identified as a victim of human trafficking. | IdentifiedAsVictimCategoryAbstract, IdentifiedAsVictimIndicator, IdentifiedAsVictimStatusAugmentationPoint
hs:InformalDispositionCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for a kind of informal disposition. | -
hs:InformalDispositionCategoryCodeType | hs:InformalDispositionCategoryCodeSimpleType | complex_value | 0 | A data type for a kind of informal disposition. | -
hs:InterStateOutputDataReportType | - | object | 2 | A data type for a State Output Data report of the Public Assistance Reporting Information System (PARIS). | InterStateOutputData, InterStateOutputDataReportAugmentationPoint
hs:InterStateOutputDataType | - | object | 4 | A data type for a set of data for a State Output Data report of the Public Assistance Reporting Information System (PARI | InterStateOutputDataAugmentationPoint, Person, PrimaryOfficialContact, SecondaryOfficialContact
hs:JuvenileAbuseNeglectAllegationType | j:ChargeType | object | 7 | A data type for allegations of juvenile abuse or neglect. | AbuseNeglectAllegationCategoryText, AbuseNeglectAllegationOriginationText, AbuseNeglectDetailCategoryText, AbuseNeglectInjury, AbuseNeglectSeverityAbstract, JuvenileAbuseNeglectAllegationAugmentationPoint, LawEnforcementReportedIndicator
hs:JuvenileAggravatingMitigatingAssessmentCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for describing whether an assessment is for aggravating or mitigating factors. | -
hs:JuvenileAggravatingMitigatingAssessmentCategoryCodeType | hs:JuvenileAggravatingMitigatingAssessmentCategoryCodeSimpleType | complex_value | 0 | A data type for describing whether an assessment is for aggravating or mitigating factors. | -
hs:JuvenileAggravatingMitigatingAssessmentType | hs:JuvenileAssessmentType | object | 11 | A data type for an assessment of aggravating and mitigating factors. | AssessmentAppealedIndicator, DueDate, JuvenileAggravatingMitigatingAssessmentAugmentationPoint, JuvenileAggravatingMitigatingAssessmentCategoryAbstract, OffenderCulpabilityText, OffenseCharacteristicsText, PeerInfluenceDescriptionText, PendingCharge
hs:JuvenileAssessmentType | nc:AssessmentType | object | 8 | A data type for a juvenile assessment. | AdministeringFacility, AssessmentOtherText, AssessmentOutcome, AssessmentRecommendation, Caseworker, Juvenile, JuvenileAssessmentAugmentationPoint, ReceivedByTrackingID
hs:JuvenileCaseType | nc:CaseType | object | 7 | A data type for a juvenile case. | CaseReferredAgency, Caseworker, InformalAdjustment, InformalDisposition, Juvenile, JuvenileCaseAugmentationPoint, ReferralReasonText
hs:JuvenileChargeType | - | object | 3 | A data type for an applied augmentation for type j:ChargeType | JuvenileChargeAugmentationPoint, JuvenileChargeStatusOffenseIndicator, StatusOffense
hs:JuvenileEducationOrganizationAssociationType | nc:AssociationType | association | 3 | A data type for an association between a juvenile and an education organization. | EducationOrganization, JuvenileEducationOrganizationAssociationAugmentationPoint, JuvenileStudent
hs:JuvenileFireSettingCaseType | hs:JuvenileCaseType | object | 6 | A data type for a juvenile firesetting case. This is specific to juveniles. | FamilyMemberBehaviorDescriptionText, HelpSoughtDescriptionText, HelpSoughtIndicator, JuvenileFireSettingCaseAugmentationPoint, OtherConcerningBehaviorDescriptionText, Treatment
hs:JuvenileGangAssociationType | nc:AssociationType | association | 7 | A data type for an association between a juvenile and a criminal gang organization. | GangOrganization, JuvenileGangActiveBeginDate, JuvenileGangActiveEndDate, JuvenileGangAssociationAugmentationPoint, JuvenileGangAssociationDescriptionText, JuvenileGangMember, JuvenileGangStatus
hs:JuvenileIntakeAssessmentType | hs:JuvenileAssessmentType | object | 14 | A data type for a juvenile intake assessment. | AbuseNeglectReportedIndicator, AtIntakePresentingProblemAbstract, ChargeDescriptionText, ClientWalkInIndicator, JuvenileGangAffiliationIndicator, JuvenileIntakeAssessmentAugmentationPoint, OtherIdentifiedSymptomsDescriptionText, ParentGangAffiliationIndicator
hs:JuvenilePlacementFacilityAssociationType | nc:AssociationType | association | 3 | A data type for an association between a juvenile and a facility where the juvenile is directed to reside (e.g., orphana | JuvenilePlacementFacilityAssociationAugmentationPoint, PlacedJuvenile, PlacementFacility
hs:JuvenilePlacementOtherLocationAssociationType | nc:AssociationType | association | 3 | A data type for an association between a juvenile and a location -- other than a foster home, kin's residence, orphanage | JuvenilePlacementOtherLocationAssociationAugmentationPoint, PlacedJuvenile, PlacementOtherLocation
hs:JuvenilePlacementPersonAssociationType | nc:AssociationType | association | 3 | A data type for an association between a juvenile and a person with whom the juvenile is directed to reside (e.g., foste | JuvenilePlacementPersonAssociationAugmentationPoint, PlacedJuvenile, PlacementPerson
hs:JuvenilePlacementSupervisorAssociationType | nc:AssociationType | association | 3 | A data type for an association between a juvenile and an entity that is responsible for supervising the juvenile's place | JuvenilePlacementSupervisorAssociationAugmentationPoint, PlacedJuvenile, PlacementSupervisor
hs:JuvenilePlacementType | hs:PlacementType | object | 3 | A data type for information about where a juvenile is directed to reside during the pendency of a delinquency proceeding | JuvenilePlacementAugmentationPoint, JuvenilePlacementGoalText, JuvenilePlacementSupervisorPerson
hs:JuvenileSpecialNeedCodeSimpleType | xs:token | simple_value | 0 | A data type for an enumerated list from the Adoption and Foster Care Annual Reporting System, 45 CFR 1355, appendix B (A | -
hs:JuvenileSpecialNeedCodeType | hs:JuvenileSpecialNeedCodeSimpleType | complex_value | 0 | A data type for an enumerated list from the Adoption and Foster Care Annual Reporting System, 45 CFR 1355, appendix B (A | -
hs:JuvenileSupervisionConditionType | nc:ConditionType | object | 2 | A data type for recording juvenile supervision condition information for an individual. | JuvenileSupervisionConditionAugmentationPoint, JuvenileSupervisionConditionFrequencyDescriptionText
hs:JuvenileType | nc:PersonType | object | 30 | A data type for a juvenile. | JuvenileArrestedFriendsIndicator, JuvenileAttentionDisorderDiagnosisIndicator, JuvenileAugmentationPoint, JuvenileBehaviorDescriptionText, JuvenileChildEverAdoptedIndicator, JuvenileCulturalFactorsDescriptionText, JuvenileDeceasedParentIndicator, JuvenileEmotionalDisturbanceIndicator
hs:LawEnforcementContactActivityType | hs:ContactActivityType | object | 14 | A data type for recording a law enforcement contact with an individual. | LawEnforcementContactActivityAugmentationPoint, LawEnforcementContactActivityCriminalRecordClearanceIndicator, LawEnforcementContactActivityGangAreaIndicator, LawEnforcementContactActivityGangAssociateIndicator, LawEnforcementContactActivityGangCrimeIndicator, LawEnforcementContactActivityGangKnownAssociationIndicator, LawEnforcementContactActivityGangMemberIndicator, LawEnforcementContactActivityGangOtherLawEnforcementIndicator
hs:LawEnforcementContactAttentionCodeSimpleType | xs:token | simple_value | 0 | A data type for describing the unit requiring special attention for the contact. | -
hs:LawEnforcementContactAttentionCodeType | hs:LawEnforcementContactAttentionCodeSimpleType | complex_value | 0 | A data type for describing the unit requiring special attention for the contact. | -
hs:LawEnforcementContactVehiclePositionCodeSimpleType | xs:token | simple_value | 0 | A data type for describing the location of the contact subject in a vehicle. | -
hs:LawEnforcementContactVehiclePositionCodeType | hs:LawEnforcementContactVehiclePositionCodeSimpleType | complex_value | 0 | A data type for describing the location of the contact subject in a vehicle. | -
hs:LevelOfCareCodeSimpleType | xs:token | simple_value | 0 | A data type for a placement as defined by the Adoption and Safe Families Act or state law. | -
hs:LevelOfCareCodeType | hs:LevelOfCareCodeSimpleType | complex_value | 0 | A data type for a placement as defined by the Adoption and Safe Families Act or state law. | -
hs:LivingSituationCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for a kind of living situation. | -
hs:LivingSituationCategoryCodeType | hs:LivingSituationCategoryCodeSimpleType | complex_value | 0 | A data type for a kind of living situation. | -
hs:MedicalHealthDetailsType | nc:ActivityType | object | 6 | A data type for details about a person's medical health. | DentalHistoryDescriptionText, HearingDisabilityIndicator, MedicalHealthDetailsAugmentationPoint, MedicalHistoryDescriptionText, OtherPhysicalDisabilityIndicator, VisualDisabilityIndicator
hs:MedicalSummaryType | - | object | 5 | A data type for a summary of a person's medical information. | ClinicalObservation, MedicalCondition, MedicalEncounter, MedicalSummaryAugmentationPoint, ServiceEvent
hs:MedicationUseFrequencyCodeSimpleType | xs:token | simple_value | 0 | A data type for describing the medication use frequency. | -
hs:MedicationUseFrequencyCodeType | hs:MedicationUseFrequencyCodeSimpleType | complex_value | 0 | A data type for describing the medication use frequency. | -
hs:MedicationUseType | nc:ActivityType | object | 10 | A data type for recording medication use for an individual. | Dispenser, Medication, MedicationDispensingDate, MedicationDoseMeasure, MedicationLastTakenDate, MedicationTreatmentReasonText, MedicationUseAugmentationPoint, MedicationUseFrequencyAbstract
hs:MentalHealthDetailsType | nc:ActivityType | object | 4 | A data type for details about a person's mental health including social history and psychosocial information. | DevelopmentalDisabilityCategoryAbstract, MentalHealthDetailsAugmentationPoint, MentalHealthHistoryDescriptionText, MentalHealthHospitalizationHistoryDescriptionText
hs:MetadataAugmentationType | - | metadata | 4 | A data type for additional information about metadata. | CreationDate, LastUpdatedTrackingID, ProtectedHealthInformationIndicator, SubmissionDateTime
hs:MethodOfPaymentCodeSimpleType | xs:token | simple_value | 0 | A data type for a method of payment. | -
hs:MethodOfPaymentCodeType | hs:MethodOfPaymentCodeSimpleType | complex_value | 0 | A data type for a method of payment. | -
hs:MissingChildRecoveryType | nc:ActivityType | object | 8 | A data type for a recovery of a missing child. | Agency, AgencyCaseNumberID, Child, ChildDeceasedIndicator, MissingChildRecoveryAugmentationPoint, MissingChildRecoveryMethodText, MissingChildReporter, PersonDeath
hs:MissingChildRelatedPersonType | nc:PersonType | object | 3 | A data type for a person related to a missing child. | ChildRelationshipText, MissingChildRelatedPersonAugmentationPoint, Warrant
