# NIEM Type Directory — one line per type for efficient semantic matching
# Format: qname | baseType | pattern | propCount | definition | topProperties
# Total: 2802 types
#
biom:DNALocusCategoryCodeType | biom:DNALocusCategoryCodeSimpleType | complex_value | 0 | A data type for a category of the locus, e.g. autosomal, X-STR, Y-STR, etc. | -
biom:DNALocusQualityStatusCodeSimpleType | xs:token | simple_value | 0 | A data type for a quality status for the locus | -
biom:DNALocusQualityStatusCodeType | biom:DNALocusQualityStatusCodeSimpleType | complex_value | 0 | A data type for a quality status for the locus | -
biom:DNALocusType | - | object | 9 | A data type for a STR locus data | DNAAllele, DNAAnalysisProcessingEntity, DNABatchID, DNAKit, DNALocusAugmentationPoint, DNALocusCategoryCode, DNALocusName, DNALocusQualityStatusCode
biom:DNAMitoDataType | - | object | 4 | A data type for a description of the mitochondria (mtDNA) data | DNACommentText, DNAMitoDataAugmentationPoint, DNAMitoFragment, DNAMitoReferenceSequenceText
biom:DNAMitoFragmentType | - | object | 6 | A data type for a description of a mitochondria fragment data | DNAAnalysisProcessingEntity, DNAMitoFragmentAugmentationPoint, DNAMitoFragmentEndNumeric, DNAMitoFragmentStartNumeric, DNAMitoPolymorphism, ProcessUTCDate
biom:DNAMitoPolymorphismBaseCodeSimpleType | xs:string | simple_value | 0 | A data type for a code for the mitochondria base as defined by the International Union of Pure and Applied Chemistry (IU | -
biom:DNAMitoPolymorphismBaseCodeType | biom:DNAMitoPolymorphismBaseCodeSimpleType | complex_value | 0 | A data type for a code for the mitochondria base as defined by the International Union of Pure and Applied Chemistry (IU | -
biom:DNAMitoPolymorphismType | - | object | 4 | A data type for a description of the differences between the mitochondria DNA data from the revised Cambridge reference  | DNAMitoPolymorphismAugmentationPoint, DNAMitoPolymorphismBaseCode, DNAMitoPolymorphismOffsetNumeric, DNAMitoPolymorphismSiteNumeric
biom:DNAMitochondrialDataType | - | object | 9 | A data type for a description of DNA mitochondrial data | DNAMitoBaseAdenineQuantity, DNAMitoBaseCytosineQuantity, DNAMitoBaseEndNumeric, DNAMitoBaseGuanineQuantity, DNAMitoBaseStartNumeric, DNAMitoBaseThymineQuantity, DNAMitoControlRegion1Text, DNAMitoControlRegion2Text
biom:DNAPedigreeMemberStatusCodeSimpleType | xs:token | simple_value | 0 | A data type for a DNA pedigree member status code | -
biom:DNAPedigreeMemberStatusCodeType | biom:DNAPedigreeMemberStatusCodeSimpleType | complex_value | 0 | A data type for a DNA pedigree member status code | -
biom:DNAPedigreeType | - | object | 8 | A data type for a description of a pedigree originating and held at a DNA laboratory | DNAPedigreeAugmentationPoint, DNAPedigreeCommentText, DNAPedigreeFatherIndexNumeric, DNAPedigreeID, DNAPedigreeMemberIndexNumeric, DNAPedigreeMemberStatusCode, DNAPedigreeMotherIndexNumeric, DNAPedigreeSampleID
biom:DNAProcessType | - | object | 3 | A data type for a description of the DNA testing and analysis process used to produce a DNA profile | DNAAnalysisProcess, DNAInstrumentProcess, DNAProcessAugmentationPoint
biom:DNAProfileCategoryCodeSimpleType | xs:integer | simple_value | 0 | A data type for a kind of DNA profile | -
biom:DNAProfileCategoryCodeType | biom:DNAProfileCategoryCodeSimpleType | complex_value | 0 | A data type for a kind of DNA profile | -
biom:DNAProfileResultCodeSimpleType | xs:integer | simple_value | 0 | A data type for a DNA profile result code | -
biom:DNAProfileResultCodeType | biom:DNAProfileResultCodeSimpleType | complex_value | 0 | A data type for a DNA profile result code | -
biom:DNAProfileType | - | object | 6 | A data type for a description of a DNA profile | DNAProfileAugmentationPoint, DNAProfileCategoryCode, DNAProfileCommentText, DNAProfileID, DNAProfileResultCode, DNAProfileSupplementalText
biom:DNARecordType | - | object | 6 | A data type for a description of DNA data record | DNACategoryAbstract, DNADataIdentification, DNADonor, DNAEncoding, DNAProfileSupplementalText, DNARecordAugmentationPoint
biom:DNARelationshipCodeSimpleType | xs:integer | simple_value | 0 | A data type for a DNA donor relationship code | -
biom:DNARelationshipCodeType | biom:DNARelationshipCodeSimpleType | complex_value | 0 | A data type for a DNA donor relationship code | -
biom:DNASTRDataType | - | object | 7 | A data type for a description of the DNA data from the short tandem repeat (STR) analysis on nuclear DNA | DNABatchID, DNACommentText, DNAKit, DNALocus, DNASTRDataAugmentationPoint, DNASTRLaneNumeric, DNASTRProfilePartialIndicator
biom:DNASTRProfileCategoryCodeSimpleType | xs:integer | simple_value | 0 | A data type for a kind of autosomal STR, X-STR, and Y-STR DNA profile | -
biom:DNASTRProfileCategoryCodeType | biom:DNASTRProfileCategoryCodeSimpleType | complex_value | 0 | A data type for a kind of autosomal STR, X-STR, and Y-STR DNA profile | -
biom:DNASTRProfileType | - | object | 13 | A data type for an autosomal STR, X-STR, and Y-STR DNA profile | DNAAlleleCall1Text, DNAAlleleCall2Text, DNAAlleleCall3Text, DNAAlleleIndicator, DNABatchID, DNAElectropherogramID, DNAElectropherogramLadderID, DNAKit
biom:DNASampleCollectionType | - | object | 6 | A data type for a description of the DNA sample collection | DNASampleCollectionAugmentationPoint, DNASampleCollectionCommentText, DNASampleCollectionDateEstimateRangeDuration, DNASampleCollectionEntity, DNASampleCollectionSite, DNASampleCollectionUTCDate
biom:DNASampleOriginCodeSimpleType | xs:token | simple_value | 0 | A data type for a DNA origin code | -
biom:DNASampleOriginCodeType | biom:DNASampleOriginCodeSimpleType | complex_value | 0 | A data type for a DNA origin code | -
biom:DNASampleOriginType | - | object | 3 | A data type for a description of the cellular type and origin of a DNA sample | DNACellularCategoryCode, DNASampleOriginAugmentationPoint, DNASampleOriginCode
